BS_Tilt,BS_Azimuth,BS_Height,Distance,UE_Azimuth,UE_Tilt,LOS,Indoor_Path,Outdoor_Path,RSRP
0.0,41.6,32.0,327.05,58.886,-7.5763,0.0,15.256,311.08,-97.336
2.0,180.0,28.0,1200.0,348.76,-1.0264,0.0,19.41,1180.3,-94.461
0.0,42.0,29.0,649.84,225.31,-2.951,0.0,236.66,412.17,-95.836
0.0,314.3,32.0,122.26,356.25,-13.565,1.0,0.0,122.24,-77.774
0.0,319.0,32.0,1475.3,35.371,-1.8053,0.0,40.72,1433.0,-110.27
0.0,179.0,32.0,1075.9,233.96,-0.98508,0.0,270.91,802.89,-121.59
0.0,319.0,32.0,1132.7,335.65,-0.58166,0.0,212.76,919.32,-114.84
0.0,314.0,28.0,1635.8,356.64,-0.71799,1.0,0.0,1635.5,-118.77
2.0,197.0,32.0,1463.0,35.906,-1.5466,0.0,300.5,1160.9,-103.65
0.0,44.0,29.0,881.36,52.051,-3.1498,0.0,10.781,868.92,-109.15
6.0,299.0,35.0,1112.7,352.04,-1.4672,0.0,294.16,818.33,-123.4
0.0,58.0,32.0,1200.8,300.09,-0.023865,1.0,0.0,1198.2,-96.461
0.0,152.0,29.0,827.4,175.63,-2.9405,0.0,61.042,766.22,-111.4
6.0,299.0,35.0,774.52,230.66,-2.4767,0.0,90.782,682.33,-110.77
0.0,314.0,28.0,534.11,288.67,-3.0544,0.0,231.29,301.47,-112.77
0.0,309.0,32.0,951.71,336.99,-0.63211,0.0,36.246,914.96,-109.27
5.0,183.0,34.0,727.82,95.045,-4.2824,0.0,27.137,698.63,-91.149
0.0,72.0,35.0,583.73,48.472,-3.578,0.0,19.651,563.08,-109.4
0.0,208.0,35.0,599.72,339.3,-2.3394,0.0,223.59,375.86,-97.649
0.0,183.0,32.0,478.91,21.69,-4.715,0.0,278.71,199.93,-78.774
0.0,44.0,29.0,964.84,106.31,-3.1146,0.0,245.7,716.63,-117.34
0.0,319.0,32.0,616.03,30.645,-3.5761,0.0,89.601,525.87,-116.4
0.0,200.0,32.0,489.91,259.06,-3.5624,1.0,0.0,488.55,-90.961
1.0,297.0,29.0,716.85,229.24,-1.8776,0.0,202.43,513.17,-125.09
0.0,68.0,34.0,303.66,333.6,-5.5488,0.0,28.043,275.42,-82.149
0.0,58.0,32.0,344.37,44.647,-5.721,0.0,86.561,257.28,-103.52
0.0,72.0,35.0,1438.8,288.56,-0.059723,0.0,52.477,1382.7,-98.711
0.0,282.0,29.0,568.81,322.79,-2.1646,0.0,90.482,477.71,-92.274
0.0,55.0,32.0,1957.0,26.264,-1.1855,0.0,66.517,1889.1,-122.9
0.0,314.3,32.0,1434.6,233.42,-0.45929,0.0,380.93,1050.9,-117.27
0.0,175.0,29.0,667.38,54.452,-3.8148,0.0,199.47,466.59,-90.899
1.0,297.0,29.0,248.27,212.67,-7.231,1.0,0.0,248.02,-92.211
